Time,Value
"Jun, 1965",$323.05
"May, 1965",$325.10
"Apr, 1965",$325.10
"Mar, 1965",$326.16
"Feb, 1965",$327.18
"Jan, 1965",$327.18
"Dec, 1964",$327.18
"Nov, 1964",$327.18
"Oct, 1964",$328.24
"Sep, 1964",$328.24
"Aug, 1964",$329.30
"Jul, 1964",$328.24
"May, 1964",$330.36
"Apr, 1964",$330.36
"Mar, 1964",$330.36
"Feb, 1964",$330.36
"Jan, 1964",$330.36
"Dec, 1963",$330.36
"Nov, 1963",$331.45
"Oct, 1963",$331.45
"Sep, 1963",$332.51
"Aug, 1963",$332.51
"Jul, 1963",$332.51
"Jun, 1963",$333.61
"May, 1963",$334.70
"Apr, 1963",$334.70
"Feb, 1963",$335.80
"Jan, 1963",$335.80
"Dec, 1962",$335.80
"Nov, 1962",$335.80
"Oct, 1962",$335.80
"Sep, 1962",$335.80
"Aug, 1962",$336.93
"Jul, 1962",$336.93
"Jun, 1962",$338.02
"May, 1962",$338.02
"Apr, 1962",$338.02
"Mar, 1962",$339.15
"Jan, 1962",$340.28
"Dec, 1961",$340.28
"Nov, 1961",$340.28
"Oct, 1961",$340.28
"Sep, 1961",$340.28
"Aug, 1961",$341.41
"Jul, 1961",$340.28
"Jun, 1961",$342.58
"May, 1961",$342.58
"Apr, 1961",$342.58
"Mar, 1961",$342.58
"Feb, 1961",$342.58
"Jan, 1961",$342.58
"Dec, 1960",$342.58
"Oct, 1960",$342.58
"Sep, 1960",$344.87
"Aug, 1960",$344.87
"Jul, 1960",$344.87
"Jun, 1960",$344.87
"May, 1960",$346.04
"Apr, 1960",$346.04
"Mar, 1960",$347.24
"Feb, 1960",$347.24
"Jan, 1960",$348.40
"Dec, 1959",$347.24
"Nov, 1959",$347.24
"Oct, 1959",$347.24
"Sep, 1959",$348.40
"Jul, 1959",$349.60
"Jun, 1959",$350.80
"May, 1959",$352.01
"Apr, 1959",$352.01
"Mar, 1959",$353.24
"Feb, 1959",$353.24
"Jan, 1959",$352.01
"Dec, 1958",$353.24
"Nov, 1958",$352.01
"Oct, 1958",$353.24
"Sep, 1958",$353.24
"Aug, 1958",$353.24
"Jul, 1958",$352.01
"May, 1958",$353.24
"Apr, 1958",$353.24
"Mar, 1958",$354.48
"Feb, 1958",$356.95
"Jan, 1958",$356.95
"Dec, 1957",$356.30
"Nov, 1957",$356.30
"Oct, 1957",$357.56
"Sep, 1957",$357.56
"Aug, 1957",$357.56
"Jul, 1957",$357.56
"Jun, 1957",$360.12
"May, 1957",$361.38
"Apr, 1957",$362.67
"Feb, 1957",$365.30
"Jan, 1957",$366.63
"Dec, 1956",$369.87
"Nov, 1956",$371.21
"Oct, 1956",$371.21
"Sep, 1956",$372.56
"Aug, 1956",$373.93
"Jul, 1956",$372.56
"Jun, 1956",$375.31
"May, 1956",$378.10
"Apr, 1956",$379.51
"Mar, 1956",$380.92
"Feb, 1956",$380.92
"Dec, 1955",$380.92
"Nov, 1955",$379.51
"Oct, 1955",$379.51
"Sep, 1955",$379.51
"Aug, 1955",$380.92
"Jul, 1955",$380.92
"Jun, 1955",$382.34
"May, 1955",$382.34
"Apr, 1955",$382.34
"Mar, 1955",$382.34
"Feb, 1955",$382.34
"Jan, 1955",$382.34
"Dec, 1954",$382.34
"Oct, 1954",$380.92
"Sep, 1954",$380.92
"Aug, 1954",$379.51
"Jul, 1954",$379.51
"Jun, 1954",$379.51
